"005D","0.00156","(A)","0.00134","(A)","0.00144","(A)","0.00156","(A)","0.00048","(A)","0.00061","(A)","0.00047","(A)","0.00089","(A)","28.01701","(C)","28.01803","(B)","28.01825","(B)","28.01747","(C)","28.01753","(C)","28.01687","(C)","28.01732","(C)","28.01859","(B)","Overall (C)",
"006","0.00348","(C)","0.00136","(A)","0.00156","(A)","0.00160","(A)","0.00069","(A)","0.00113","(A)","0.00076","(A)","0.00122","(A)","28.01810","(B)","28.01844","(B)","28.01864","(B)","28.01896","(B)","28.01785","(C)","28.01735","(C)","28.01797","(C)","28.01895","(B)","Overall (C)",
"007","0.00141","(A)","0.00133","(A)","0.00125","(A)","0.00127","(A)","0.00133","(A)","0.00160","(A)","0.00101","(A)","0.00166","(A)","28.02224","(C)","28.02276","(C)","28.02358","(C)","28.02422","(C)","28.02322","(C)","28.02208","(C)","28.02312","(C)","28.02452","(C)","Overall (C)",
"008","0.00128","(A)","0.00120","(A)","0.00119","(A)","0.00127","(A)","0.00108","(A)","0.00151","(A)","0.00059","(A)","0.00113","(A)","28.02057","(A)","28.02113","(B)","28.02105","(B)","28.02199","(B)","28.02140","(B)","28.02024","(A)","28.02007","(A)","28.02154","(B)","Overall (B)",
"009","0.00126","(A)","0.00134","(A)","0.00117","(A)","0.00117","(A)","0.00090","(A)","0.00115","(A)","0.00052","(A)","0.00144","(A)","28.02246","(C)","28.02294","(C)","28.02304","(C)","28.02384","(C)","28.02306","(C)","28.02232","(C)","28.02282","(C)","28.02426","(C)","Overall (C)",
"010","0.00178","(A)","0.00170","(A)","0.00160","(A)","0.00152","(A)","0.00111","(A)","0.00135","(A)","0.00072","(A)","0.00152","(A)","28.02314","(C)","28.02316","(C)","28.02314","(C)","28.02428","(C)","28.02364","(C)","28.02298","(C)","28.02354","(C)","28.02450","(C)","Overall (C)",
"011","0.00144","(A)","0.00178","(A)","0.00152","(A)","0.00133","(A)","0.00167","(A)","0.00208","(B)","0.00202","(B)","0.00260","(C)","28.01215","(C)","28.01233","(C)","28.01232","(C)","28.01316","(C)","28.01220","(C)","28.01140","(C)","28.01201","(C)","28.01338","(C)","Overall (C)",
"012","0.00088","(A)","0.00105","(A)","0.00095","(A)","0.00125","(A)","0.00128","(A)","0.00155","(A)","0.00143","(A)","0.00215","(B)","28.01852","(B)","28.01882","(B)","28.01824","(B)","28.01893","(B)","28.01802","(B)","28.01740","(C)","28.01777","(C)","28.01854","(B)","Overall (C)",
"013","0.00104","(A)","0.00083","(A)","0.00102","(A)","0.00104","(A)","0.00167","(A)","0.00209","(B)","0.00156","(A)","0.00215","(B)","28.02076","(A)","28.02135","(B)","28.02132","(B)","28.02217","(C)","28.02137","(B)","28.02051","(A)","28.02087","(A)","28.02217","(C)","Overall (C)",
"014","0.00103","(A)","0.00087","(A)","0.00086","(A)","0.00090","(A)","0.00142","(A)","0.00172","(A)","0.00152","(A)","0.00189","(A)","28.02230","(C)","28.02238","(C)","28.02286","(C)","28.02332","(C)","28.02271","(C)","28.02189","(B)","28.02170","(B)","28.02305","(C)","Overall (C)",
"015","0.00198","(A)","0.00084","(A)","0.00089","(A)","0.00083","(A)","0.00168","(A)","0.00190","(A)","0.00157","(A)","0.00223","(B)","28.01998","(A)","28.02024","(A)","28.02095","(A)","28.02147","(B)","28.01999","(A)","28.01907","(A)","28.02021","(A)","28.02123","(B)","Overall (B)",
"S009","0.00323","(C)","0.00291","(C)","0.00254","(C)","0.00314","(C)","0.00208","(B)","0.00118","(A)","0.00302","(C)","0.00142","(A)","28.01848","(B)","28.02500","(C)","28.01686","(C)","28.02576","(C)","28.02357","(C)","28.01704","(C)","28.01445","(C)","28.01445","(C)","Overall (C)",
"S010","0.00178","(A)","0.00188","(A)","0.00154","(A)","0.00166","(A)","0.00096","(A)","0.00092","(A)","0.00135","(A)","0.00107","(A)","28.02202","(C)","28.02284","(C)","28.02012","(A)","28.02076","(A)","28.02108","(B)","28.02027","(A)","28.01748","(C)","28.01895","(B)","Overall (C)",
"S011","0.00148","(A)","0.00171","(A)","0.00220","(B)","0.00168","(A)","0.00089","(A)","0.00085","(A)","0.00103","(A)","0.00097","(A)","28.02112","(B)","28.02170","(B)","28.01980","(A)","28.02120","(B)","28.02060","(A)","28.01980","(A)","28.01828","(B)","28.01914","(A)","Overall (B)",
"S014","0.00124","(A)","0.00121","(A)","0.00164","(A)","0.00133","(A)","0.00178","(A)","0.00197","(A)","0.00124","(A)","0.00166","(A)","28.01806","(B)","28.01882","(B)","28.01552","(C)","28.01918","(A)","28.01815","(B)","28.01747","(C)","28.01751","(C)","28.01857","(B)","Overall (C)",
"S015","0.00135","(A)","0.00161","(A)","0.00147","(A)","0.00136","(A)","0.00152","(A)","0.00154","(A)","0.00096","(A)","0.00187","(A)","28.01815","(B)","28.01865","(B)","28.01815","(B)","28.01868","(B)","28.01717","(C)","28.01677","(C)","28.01650","(C)","28.01727","(C)","Overall (C)",
"S016","0.00144","(A)","0.00143","(A)","0.00240","(B)","0.00133","(A)","0.00116","(A)","0.00086","(A)","0.00175","(A)","0.00161","(A)","28.01801","(B)","28.01851","(B)","28.01743","(C)","28.01796","(C)","28.01704","(C)","28.01642","(C)","28.01592","(C)","28.01666","(C)","Overall (C)",
"S017","0.00292","(C)","0.00144","(A)","0.00148","(A)","0.00140","(A)","0.00140","(A)","0.00133","(A)","0.00117","(A)","0.00150","(A)","28.01836","(B)","28.01888","(B)","28.01789","(C)","28.01838","(B)","28.01863","(B)","28.01809","(B)","28.01726","(C)","28.01806","(B)","Overall (C)",
"S019","0.00144","(A)","0.00159","(A)","0.00127","(A)","0.00140","(A)","0.00098","(A)","0.00136","(A)","0.00133","(A)","0.00154","(A)","28.01735","(C)","28.01835","(B)","28.01641","(C)","28.01729","(C)","28.01967","(A)","28.01913","(A)","28.01810","(B)","28.01861","(B)","Overall (C)",
"S021","0.00165","(A)","0.00150","(A)","0.00120","(A)","0.00228","(B)","0.00138","(A)","0.00117","(A)","0.00107","(A)","0.00152","(A)","28.01895","(B)","28.01976","(A)","28.01883","(B)","28.01931","(A)","28.02040","(A)","28.01936","(A)","28.01884","(B)","28.02020","(A)","Overall (B)",
"S022","0.00123","(A)","0.00143","(A)","0.00141","(A)","0.00153","(A)","0.00169","(A)","0.00186","(A)","0.00117","(A)","0.00169","(A)","28.02171","(B)","28.02237","(C)","28.02167","(B)","28.02227","(C)","28.02077","(A)","28.02003","(A)","28.01995","(A)","28.02078","(A)","Overall (C)",
